experiment,cath_degree,ligand_rmsd_threshold,success_rate,n
APoc,0,1,0.0,487
APoc,1,1,0.00142,706
APoc,2,1,0.0,429
APoc,3,1,0.0,111
APoc,4,1,0.01207,580
APoc,0,2,0.00411,487
APoc,1,2,0.00142,706
APoc,2,2,0.0,429
APoc,3,2,0.00901,111
APoc,4,2,0.04655,580
APoc,0,4,0.00821,487
APoc,1,4,0.00708,706
APoc,2,4,0.00233,429
APoc,3,4,0.03604,111
APoc,4,4,0.07069,580
Dali,0,1,0.00205,487
Dali,1,1,0.00142,706
Dali,2,1,0.0,429
Dali,3,1,0.0,111
Dali,4,1,0.06379,580
Dali,0,2,0.01643,487
Dali,1,2,0.00283,706
Dali,2,2,0.00932,429
Dali,3,2,0.00901,111
Dali,4,2,0.36379,580
Dali,0,4,0.02669,487
Dali,1,4,0.00708,706
Dali,2,4,0.03497,429
Dali,3,4,0.04505,111
Dali,4,4,0.71897,580
PLASMA,0,1,0.0,487
PLASMA,1,1,0.0,706
PLASMA,2,1,0.0,429
PLASMA,3,1,0.0,111
PLASMA,4,1,0.01552,580
PLASMA,0,2,0.0,487
PLASMA,1,2,0.0,706
PLASMA,2,2,0.0,429
PLASMA,3,2,0.0,111
PLASMA,4,2,0.07931,580
PLASMA,0,4,0.00411,487
PLASMA,1,4,0.00283,706
PLASMA,2,4,0.00233,429
PLASMA,3,4,0.00901,111
PLASMA,4,4,0.19655,580
SoftAlign,0,1,0.0,487
SoftAlign,1,1,0.0,706
SoftAlign,2,1,0.0,429
SoftAlign,3,1,0.0,111
SoftAlign,4,1,0.03621,580
SoftAlign,0,2,0.0,487
SoftAlign,1,2,0.0,706
SoftAlign,2,2,0.0,429
SoftAlign,3,2,0.00901,111
SoftAlign,4,2,0.12931,580
SoftAlign,0,4,0.00411,487
SoftAlign,1,4,0.00142,706
SoftAlign,2,4,0.00466,429
SoftAlign,3,4,0.01802,111
SoftAlign,4,4,0.30172,580
TMalign,0,1,0.00205,487
TMalign,1,1,0.00142,706
TMalign,2,1,0.0,429
TMalign,3,1,0.0,111
TMalign,4,1,0.07586,580
TMalign,0,2,0.01643,487
TMalign,1,2,0.00425,706
TMalign,2,2,0.00699,429
TMalign,3,2,0.00901,111
TMalign,4,2,0.37759,580
TMalign,0,4,0.02875,487
TMalign,1,4,0.01275,706
TMalign,2,4,0.02797,429
TMalign,3,4,0.04505,111
TMalign,4,4,0.70517,580
USAlign,0,1,0.00205,487
USAlign,1,1,0.00142,706
USAlign,2,1,0.0,429
USAlign,3,1,0.0,111
USAlign,4,1,0.07586,580
USAlign,0,2,0.01643,487
USAlign,1,2,0.00425,706
USAlign,2,2,0.00699,429
USAlign,3,2,0.00901,111
USAlign,4,2,0.37759,580
USAlign,0,4,0.02875,487
USAlign,1,4,0.01133,706
USAlign,2,4,0.02797,429
USAlign,3,4,0.03604,111
USAlign,4,4,0.70862,580
USAlign_fns,0,1,0.0,487
USAlign_fns,1,1,0.00142,706
