experiment,cath_degree,ligand_rmsd_threshold,success_rate,n
APoc,0,1,0.0,900
APoc,1,1,0.0,823
APoc,2,1,0.0,634
APoc,3,1,0.0,412
APoc,4,1,0.04796,417
APoc,0,2,0.00111,900
APoc,1,2,0.00365,823
APoc,2,2,0.0,634
APoc,3,2,0.0,412
APoc,4,2,0.08633,417
APoc,0,4,0.00444,900
APoc,1,4,0.00608,823
APoc,2,4,0.0,634
APoc,3,4,0.00243,412
APoc,4,4,0.08633,417
Dali,0,1,0.00111,900
Dali,1,1,0.00122,823
Dali,2,1,0.0,634
Dali,3,1,0.00243,412
Dali,4,1,0.22302,417
Dali,0,2,0.00889,900
Dali,1,2,0.00486,823
Dali,2,2,0.00473,634
Dali,3,2,0.00971,412
Dali,4,2,0.69305,417
Dali,0,4,0.01222,900
Dali,1,4,0.02187,823
Dali,2,4,0.00631,634
Dali,3,4,0.01942,412
Dali,4,4,0.85851,417
PLASMA,0,1,0.0,900
PLASMA,1,1,0.0,823
PLASMA,2,1,0.0,634
PLASMA,3,1,0.0,412
PLASMA,4,1,0.04317,417
PLASMA,0,2,0.0,900
PLASMA,1,2,0.00243,823
PLASMA,2,2,0.0,634
PLASMA,3,2,0.0,412
PLASMA,4,2,0.20144,417
PLASMA,0,4,0.00333,900
PLASMA,1,4,0.00972,823
PLASMA,2,4,0.0,634
PLASMA,3,4,0.00971,412
PLASMA,4,4,0.40048,417
SoftAlign,0,1,0.0,900
SoftAlign,1,1,0.0,823
SoftAlign,2,1,0.0,634
SoftAlign,3,1,0.0,412
SoftAlign,4,1,0.08633,417
SoftAlign,0,2,0.00333,900
SoftAlign,1,2,0.00365,823
SoftAlign,2,2,0.0,634
SoftAlign,3,2,0.0,412
SoftAlign,4,2,0.33813,417
SoftAlign,0,4,0.00778,900
SoftAlign,1,4,0.01337,823
SoftAlign,2,4,0.00315,634
SoftAlign,3,4,0.00728,412
SoftAlign,4,4,0.63309,417
TMalign,0,1,0.00222,900
TMalign,1,1,0.00243,823
TMalign,2,1,0.0,634
TMalign,3,1,0.00485,412
TMalign,4,1,0.24221,417
TMalign,0,2,0.01,900
TMalign,1,2,0.00486,823
TMalign,2,2,0.0,634
TMalign,3,2,0.00971,412
TMalign,4,2,0.70264,417
TMalign,0,4,0.01556,900
TMalign,1,4,0.01701,823
TMalign,2,4,0.00315,634
TMalign,3,4,0.02427,412
TMalign,4,4,0.86331,417
USAlign,0,1,0.00222,900
USAlign,1,1,0.00243,823
USAlign,2,1,0.0,634
USAlign,3,1,0.00485,412
USAlign,4,1,0.24221,417
USAlign,0,2,0.01,900
USAlign,1,2,0.00486,823
USAlign,2,2,0.0,634
USAlign,3,2,0.00971,412
USAlign,4,2,0.70024,417
USAlign,0,4,0.01556,900
USAlign,1,4,0.01701,823
USAlign,2,4,0.00315,634
USAlign,3,4,0.02427,412
USAlign,4,4,0.86331,417
USAlign_fns,0,1,0.00222,900
USAlign_fns,1,1,0.00243,823
USAlign_fns,2,1,0.0,634
USAlign_fns,3,1,0.00485,412
USAlign_fns,4,1,0.23981,417
USAlign_fns,0,2,0.00889,900
USAlign_fns,1,2,0.00608,823
USAlign_fns,2,2,0.0,634
USAlign_fns,3,2,0.00728,412
USAlign_fns,4,2,0.69305,417
USAlign_fns,0,4,0.01222,900
USAlign_fns,1,4,0.0158,823
USAlign_fns,2,4,0.00158,634
USAlign_fns,3,4,0.02184,412
USAlign_fns,4,4,0.84173,417
USAlign_sns,0,1,0.00222,900
USAlign_sns,1,1,0.00243,823
USAlign_sns,2,1,0.0,634
USAlign_sns,3,1,0.00485,412
USAlign_sns,4,1,0.23741,417
USAlign_sns,0,2,0.01,900
USAlign_sns,1,2,0.00365,823
USAlign_sns,2,2,0.00158,634
USAlign_sns,3,2,0.00971,412
USAlign_sns,4,2,0.69784,417
USAlign_sns,0,4,0.01444,900
USAlign_sns,1,4,0.02066,823
USAlign_sns,2,4,0.00473,634
USAlign_sns,3,4,0.02184,412
USAlign_sns,4,4,0.86331,417
ablation-no-esm,0,1,0.00444,901
ablation-no-esm,1,1,0.00365,822
ablation-no-esm,2,1,0.0,634
ablation-no-esm,3,1,0.00485,412
ablation-no-esm,4,1,0.27578,417
ablation-no-esm,0,2,0.01665,901
ablation-no-esm,1,2,0.01825,822
ablation-no-esm,2,2,0.01104,634
ablation-no-esm,3,2,0.01214,412
ablation-no-esm,4,2,0.70264,417
ablation-no-esm,0,4,0.04883,901
ablation-no-esm,1,4,0.05474,822
ablation-no-esm,2,4,0.02681,634
ablation-no-esm,3,4,0.03641,412
ablation-no-esm,4,4,0.85851,417
ablation-no-gnn,0,1,0.00444,900
ablation-no-gnn,1,1,0.00608,823
ablation-no-gnn,2,1,0.0,633
ablation-no-gnn,3,1,0.00483,414
ablation-no-gnn,4,1,0.29567,416
ablation-no-gnn,0,2,0.01333,900
ablation-no-gnn,1,2,0.02066,823
ablation-no-gnn,2,2,0.01106,633
ablation-no-gnn,3,2,0.01208,414
ablation-no-gnn,4,2,0.71875,416
ablation-no-gnn,0,4,0.13889,900
ablation-no-gnn,1,4,0.08141,823
ablation-no-gnn,2,4,0.16588,633
ablation-no-gnn,3,4,0.19807,414
ablation-no-gnn,4,4,0.84856,416
ablation-no-ligand-loss,0,1,0.0,900
ablation-no-ligand-loss,1,1,0.00122,823
ablation-no-ligand-loss,2,1,0.0,633
ablation-no-ligand-loss,3,1,0.0,414
ablation-no-ligand-loss,4,1,0.03846,416
ablation-no-ligand-loss,0,2,0.00222,900
ablation-no-ligand-loss,1,2,0.00851,823
ablation-no-ligand-loss,2,2,0.00158,633
ablation-no-ligand-loss,3,2,0.0,414
ablation-no-ligand-loss,4,2,0.20433,416
ablation-no-ligand-loss,0,4,0.00444,900
ablation-no-ligand-loss,1,4,0.02066,823
ablation-no-ligand-loss,2,4,0.00316,633
ablation-no-ligand-loss,3,4,0.00483,414
ablation-no-ligand-loss,4,4,0.53846,416
ablation-no-quality-loss,0,1,0.00111,900
ablation-no-quality-loss,1,1,0.00365,823
ablation-no-quality-loss,2,1,0.0,633
ablation-no-quality-loss,3,1,0.0,414
ablation-no-quality-loss,4,1,0.24279,416
ablation-no-quality-loss,0,2,0.00222,900
ablation-no-quality-loss,1,2,0.00729,823
ablation-no-quality-loss,2,2,0.00158,633
ablation-no-quality-loss,3,2,0.00483,414
ablation-no-quality-loss,4,2,0.5024,416
ablation-no-quality-loss,0,4,0.00222,900
ablation-no-quality-loss,1,4,0.00729,823
ablation-no-quality-loss,2,4,0.00158,633
ablation-no-quality-loss,3,4,0.00483,414
ablation-no-quality-loss,4,4,0.57933,416
ablation-no-recycle,0,1,0.00333,900
ablation-no-recycle,1,1,0.00486,823
ablation-no-recycle,2,1,0.0,633
ablation-no-recycle,3,1,0.00483,414
ablation-no-recycle,4,1,0.28846,416
ablation-no-recycle,0,2,0.01111,900
ablation-no-recycle,1,2,0.01701,823
ablation-no-recycle,2,2,0.0079,633
ablation-no-recycle,3,2,0.01208,414
ablation-no-recycle,4,2,0.7524,416
ablation-no-recycle,0,4,0.02222,900
ablation-no-recycle,1,4,0.03402,823
ablation-no-recycle,2,4,0.04897,633
ablation-no-recycle,3,4,0.04589,414
ablation-no-recycle,4,4,0.87981,416
baseline,0,1,0.00444,900
baseline,1,1,0.00486,823
baseline,2,1,0.0,633
baseline,3,1,0.00483,414
baseline,4,1,0.3101,416
baseline,0,2,0.01333,900
baseline,1,2,0.01944,823
baseline,2,2,0.0079,633
baseline,3,2,0.01208,414
baseline,4,2,0.7476,416
baseline,0,4,0.11556,900
baseline,1,4,0.10085,823
baseline,2,4,0.1564,633
baseline,3,4,0.18357,414
baseline,4,4,0.87019,416
