,ligand_id,tar_protein,tar_chain,src_protein,src_chain,cath_degree,src_ligand_n_atoms,tar_ligand_n_atoms,src_ligand,tar_ligand,ligand_rmsd,embedding_similarity,corr_rmsd,entropy,atom_type_fraction,radius_of_gyration
0,HEM,apo4e63ebcfcd,A,apo5823cc418b,A,0,[43],[43],HEM,HEM,4.962201118469238,2.1626334190368652,1.4488956928253174,0.6992635130882263,0.8129742741584778,1.300810694694519
1,K,apo8711722b82,A,apob2881074d9,A,0,[1],[1],K,K,3.178271770477295,1.9375648498535156,1.6981678009033203,0.7259499430656433,0.8926410675048828,1.052348017692566
2,TYD,apoa6cedd5e6c,A,apoe9a08fdd69,A,0,[25],[25],TYD,TYD,6.849140167236328,2.4334380626678467,1.5431064367294312,0.7539944052696228,0.640022337436676,1.154861569404602
3,CA,apoecb5e337e5,A,apo1b60791aa4,A,0,[1],[1],CA,CA,6.567511558532715,2.581423282623291,1.4612596035003662,0.7079330086708069,0.8928449749946594,1.424820065498352
4,GST,apo5d38d709ef,A,apo35213b46ab,A,0,[19],[19],GST,GST,5.630511283874512,2.351149559020996,1.6040959358215332,0.7241369485855103,0.7168283462524414,1.314218521118164
5,CA,apocadb7c2579,A,apo503f36beee,A,0,[1],[1],CA,CA,6.845939636230469,2.5626046657562256,1.429729700088501,0.7160186171531677,0.8285885453224182,1.2590662240982056
6,PC,apo65f5d6f793,A,apo5c5bfeb367,A,0,[11],[11],PC,PC,8.426206588745117,2.518880605697632,1.4737056493759155,0.6841950416564941,0.8121476173400879,1.060849666595459
7,CA,apo04186af2ae,A,apo59407ed774,A,0,[1],[1],CA,CA,7.4448957443237305,2.5032196044921875,1.5397158861160278,0.7485579252243042,0.925224781036377,1.0244642496109009
8,8AC,apob05a3e8d18,A,apo17e36f8dd7,A,0,[11],[11],8AC,8AC,8.120523452758789,2.495028018951416,1.541507363319397,0.7522881627082825,0.5712303519248962,1.0293867588043213
9,CA,apob0245a33ae,A,apo1625ada5d0,A,0,[1],[1],CA,CA,7.409510612487793,2.2907657623291016,1.5626471042633057,0.7373131513595581,0.9105794429779053,1.1408289670944214
10,AND,apo61699997d9,A,apoc964a91256,A,0,[21],[21],AND,AND,7.282454967498779,2.3799352645874023,1.5143696069717407,0.7240266799926758,0.7428774237632751,1.2418708801269531
11,CA,apoa9552e4c16,A,apo815c8f095d,A,0,[1],[1],CA,CA,7.198772430419922,2.420339584350586,1.6191343069076538,0.675577700138092,0.8467785120010376,1.4665143489837646
12,SIA,apof988af7c38,A,apo853b93903a,A,0,[21],[21],SIA,SIA,7.044060230255127,2.3933231830596924,1.6065562963485718,0.6326229572296143,0.9168261885643005,1.2946008443832397
13,IPE,apof80eee5ece,A,apo76b71509fd,A,0,[14],[14],IPE,IPE,4.094997406005859,2.636408567428589,1.4869447946548462,0.75443434715271,0.8530359268188477,1.2115442752838135
14,IPE,apoba69899eaa,A,apo76b71509fd,A,0,[14],[14],IPE,IPE,6.543248176574707,2.2781856060028076,1.6057449579238892,0.7079992890357971,0.7642068862915039,1.1403847932815552
15,CA,apoeab59ce7a3,A,apodb380f2596,A,0,[1],[1],CA,CA,7.43479061126709,2.713995933532715,1.3261120319366455,0.6786555647850037,0.8366278409957886,1.2176474332809448
16,TTP,apo95216f807b,A,apob9237ccc51,A,0,[29],[29],TTP,TTP,4.7032084465026855,2.5544769763946533,1.4066815376281738,0.6784216165542603,0.9226373434066772,1.2844542264938354
17,K,apo5634e23ee1,A,apob2881074d9,A,0,[1],[1],K,K,3.88276743888855,2.173901081085205,1.5307507514953613,0.7330103516578674,0.8562299013137817,1.2248287200927734
18,CA,apo7a08484515,A,apoa93b040613,A,0,[1],[1],CA,CA,8.59399127960205,2.1191985607147217,1.424489974975586,0.6636070013046265,0.4006219506263733,1.2964320182800293
19,M6P,apoc2bc90b024,A,apoba014d106c,A,0,[16],[16],M6P,M6P,9.113652229309082,1.9244941473007202,1.5112535953521729,0.514126718044281,0.3412017524242401,1.5712544918060303
20,PC,apo65f5d6f793,A,apo6142d24d09,A,0,[11],[11],PC,PC,8.422307014465332,2.3146190643310547,1.5434657335281372,0.6895520687103271,0.49444860219955444,1.1643849611282349
21,CA,apoaefadbf3fd,A,apo65abf4c256,A,0,[1],[1],CA,CA,8.628950119018555,1.7103233337402344,1.6630464792251587,0.6028647422790527,0.7754921913146973,2.4032771587371826
22,CA,apoeab59ce7a3,A,apo5cc8e075e4,A,0,[1],[1],CA,CA,1.6470733880996704,3.6210246086120605,1.0647928714752197,0.731106162071228,0.9916423559188843,1.0436781644821167
23,SAM,apo865b191f3d,A,apo89e4b80ffd,A,0,[27],[27],SAM,SAM,2.232811450958252,3.0155749320983887,1.4099817276000977,0.7462167739868164,0.7439694404602051,1.046465277671814
24,LDP,apo00dc35d023,A,apo763b5b9130,A,0,[11],[11],LDP,LDP,2.8599441051483154,2.4197301864624023,1.4227101802825928,0.7243642807006836,0.6217018365859985,1.2487326860427856
25,GOA,apo513d86a1e9,A,apod4db826ba9,A,0,[5],[5],GOA,GOA,2.4691390991210938,2.1150898933410645,1.7904728651046753,0.7277425527572632,0.8585948944091797,1.0197685956954956
26,CA,apo611246f80b,A,apo1b60791aa4,A,0,[1],[1],CA,CA,6.528838634490967,2.4011356830596924,1.7431669235229492,0.7066547870635986,0.8474966883659363,1.0552504062652588
27,HJX,apof3d7244594,A,apo4d69c18b84,A,0,[25],[25],HJX,HJX,4.780272960662842,2.5152523517608643,1.950926423072815,0.668351411819458,0.5671176910400391,1.309352159500122
