,ligand,src_protein,src_chain,src_motif,ligand_all,id_all
0,VWW,10gs,B,,VWW,10gs_B
1,MN,117e,B,,MN,117e_B
2,ZN,12ca,A,,ZN,12ca_A
3,HEM,155c,A,,HEM,155c_A
4,OXE,188l,A,,OXE,188l_A
5,HEM,19hc,A,,HEM,19hc_A|19hc_B
6,HEM,1a01,C,,HEM,1a01_C
7,CO,1a0c,C,,CO|MN,1a0c_C|1a0d_D
8,0G6,1a0h,E,,0G6,1a0h_E
9,MN,1a0o,G,,MN,1a0o_G
10,FRU,1a0t,P,,FRU|CA,1a0t_P|1a0t_R
11,PRO,1a16,A,,PRO,1a16_A
12,ZN,1a1h,A,,ZN,1a1h_A|1a1k_A
13,CA,1a25,A,,CA,1a25_A
14,STR,1a28,B,,STR,1a28_B
15,CA,1a2x,A,,CA,1a2x_A
16,CFC,1a3l,L,,CFC,1a3l_L
17,CA,1a2t,A,,CA|THP,1a2t_A|1a3t_A
18,MN,1a3w,B,,MN,1a3w_B
19,GLC,1a47,A,,GLC,1a47_A
20,MG,1a49,B,,MG|OXL,1a49_B|1a49_F|1a5u_B|1a5u_F
21,CU,1a4b,A,,CU,1a4b_A
22,HEM,1a4f,A,,HEM,1a4f_A
23,FRA,1a4k,B,,FRA,1a4k_B
24,ZN,1a4m,A,,ZN,1a4m_A
25,CA,1a4q,B,,CA,1a4q_B
26,NAD,1a4z,D,,NAD,1a4z_D
27,COA,1a59,A,,COA,1a59_A
28,NI,1a5o,C,,NI,1a5o_C
29,Y3,1a5w,A,,Y3,1a5w_A
30,FMB,1a69,A,,FMB,1a69_A
31,HEM,1a6k,A,,HEM,101m_A|1a6k_A
32,NPC,1a6v,J,,NPC,1a6v_J
33,FES,1a70,A,,FES,1a70_A
34,ZN,1a73,A,,ZN,1a73_A
35,CA,1a75,B,,CA,1a75_B
36,NAD,1a7a,A,,NAD,1a7a_A
37,NAD,1a7k,B,,NAD,1a7k_B
38,ZN,1a7t,A,,ZN,1a7t_A|1a8t_B
39,DNN,1a82,A,,DNN,1a82_A
40,ZN,1a86,A,,ZN,1a86_A
41,CA,1a8a,A,,CA,1a8a_A|1a8b_A
42,PME,1a8j,H,,PME,1a8j_H
43,GTP,1a8r,B,,GTP,1a8r_B|1a8r_G|1a8r_L|1a9c_D|1a9c_I|1a9c_N
44,GUN,1a95,B,,GUN,1a95_B
45,PUT,1a99,B,,PUT,1a99_B
46,HPA,1a9t,A,,HPA,1a9t_A
47,ADP,1a9x,A,,ADP|MN,1a9x_A|1a9x_E
48,NAD,1a9y,A,,NAD,1a9y_A
49,MGD,1aa6,A,,MGD,1aa6_A
50,PLP,1aaw,A,,PLP,1aaw_A
51,PDP,1abb,A,,PDP,1abb_A|1abb_D
52,MET,1abw,A,,MET,1abw_A
53,HEM,1aby,B,,HEM,1aby_B
54,COA,1aca,A,,COA,1aca_A
55,SF4,1aco,A,,SF4,1aco_A
56,CA,1ad5,A,,CA,1ad5_A
57,NAP,1ads,A,,NAP,1ads_A
58,CU,1adw,B,,CU,1adw_B
59,HEM,1a2g,A,,HEM|3MT,1a2g_A|1aeb_A|1aeh_A|1aem_A
60,CA,1aei,C,,CA,1aei_C|1aei_E
61,AMP,1aer,B,,AMP,1aer_B
62,ZN,1af0,A,,ZN,1af0_A
63,U5P,1af2,A,,U5P,1af2_A
64,CA,1afb,1,,CA,1afa_1|1afb_1
65,GU4,1afc,C,,GU4,1afc_C|1afc_H
66,PAP,1afk,A,,U2G|PAP,11bg_A|1afk_A
67,FE2,1afr,B,,FE2,1afr_B
68,TES,1afs,A,,TES,1afs_A
69,MAN,1agm,A,,MAN,1agm_A
70,CND,1adb,B,,CND|ZN|NAD,1adb_B|1adf_A|1agn_B
71,MG,1agr,A,,MG,1agr_A
