,ligand_id,tar_protein,tar_chain,src_protein,src_chain,cath_degree,src_ligand_n_atoms,tar_ligand_n_atoms,src_ligand,tar_ligand,ligand_rmsd,embedding_similarity,corr_rmsd,entropy,atom_type_fraction,radius_of_gyration
0,PYR,apoc6b5ea69aa,A,apo0305834168,A,0,[6],[6],PYR,PYR,5.609866142272949,2.1613895893096924,1.6035566329956055,0.7339137196540833,0.9263138175010681,1.0540601015090942
1,FE2,apoea8e7659af,A,apo37cf2e80a1,A,0,[1],[1],FE2,FE2,3.695117950439453,2.1350395679473877,1.6158297061920166,0.6959467530250549,0.8709980249404907,1.4164761304855347
2,SAM,apo0c4f651c46,A,apo218b3ecdc8,A,0,[27],[27],SAM,SAM,7.150136947631836,1.4788682460784912,1.5949875116348267,0.6501088738441467,0.6944394707679749,1.2198666334152222
3,CU1,apo3d60f5c576,A,apo5def8d15d8,A,0,[1],[1],CU1,CU1,2.5622942447662354,2.6759636402130127,1.4951289892196655,0.7834585309028625,0.6616383790969849,1.0847572088241577
4,IPE,apoba69899eaa,A,apo76b71509fd,A,0,[14],[14],IPE,IPE,6.543251991271973,2.2781927585601807,1.6057428121566772,0.7079980969429016,0.7642154097557068,1.1403886079788208
5,MN,apoe56eec81b4,A,apo932ec07ee7,A,0,[1],[1],MN,MN,1.4020744562149048,2.101508378982544,1.4799659252166748,0.7109671235084534,0.8216034770011902,1.0724000930786133
6,PYR,apoc6b5ea69aa,A,apoa0b87ab07c,A,0,[5],[6],PYR,PYR,5.154810428619385,2.041705369949341,1.599149465560913,0.6948446035385132,0.7190002202987671,1.224313735961914
7,PYR,apoc6b5ea69aa,A,apoa4422865fc,A,0,[6],[6],PYR,PYR,7.976846218109131,1.7372453212738037,1.5632654428482056,0.6656184196472168,0.5370913743972778,1.054120421409607
8,FE2,apo80526afb52,A,apo1c765845fe,A,0,[1],[1],FE2,FE2,1.3488916158676147,2.316340923309326,1.4672633409500122,0.740257740020752,0.7842842936515808,1.0233345031738281
9,CU,apo16ec605a9d,A,apo3c541d6d49,A,0,[1],[1],CU,CU,1.4712269306182861,2.257254123687744,1.548112154006958,0.7309551239013672,0.5137109756469727,1.1612613201141357
10,PYR,apoa0b87ab07c,A,apo0305834168,A,0,[6],[5],PYR,PYR,5.193889141082764,2.8836307525634766,1.439393162727356,0.7392833232879639,0.9178838729858398,1.004432201385498
11,MN,apo2736d9c612,A,apoc476e130f7,A,0,[1],[1],MN,MN,2.24226450920105,2.5091676712036133,1.4927990436553955,0.7466611862182617,0.8447340726852417,1.029780626296997
12,AKG,apoe86394f4a0,A,apoa06a38fda5,A,0,[10],[10],AKG,AKG,5.862997055053711,2.3995418548583984,1.8605159521102905,0.713839054107666,0.7893322110176086,1.2337021827697754
13,CU,apo82ac663794,A,apo3c541d6d49,A,0,[1],[1],CU,CU,1.4516181945800781,2.310060739517212,1.5651583671569824,0.7230585813522339,0.6557475924491882,1.0515962839126587
14,SAM,apofd7fa63b48,A,apoe4100df4a7,A,0,[17],[27],SAM,SAM,6.9889817237854,2.4704928398132324,1.553936243057251,0.7241678237915039,0.773454487323761,1.136680006980896
15,COA,apo577a70e23b,A,apo8a016eb0da,A,0,[48],[48],COA,COA,4.501612663269043,2.7195873260498047,1.5285803079605103,0.7120848298072815,0.9082827568054199,1.2026416063308716
16,AES,apod56a7b01eb,A,apo4af3935b8e,A,0,[13],[13],AES,AES,7.669160842895508,2.190512180328369,1.5372002124786377,0.7042827010154724,0.8838281631469727,1.1120988130569458
17,OXY,apo2c3a0c55e6,A,apofab7035337,A,0,[2],[1],OXY,OXY,7.412387371063232,2.4519097805023193,1.3685637712478638,0.7739963531494141,0.7737265825271606,0.9817822575569153
18,FE,apo1289eb47dc,A,apof812dd602f,A,0,[1],[1],FE,FE,7.1080546379089355,2.6287379264831543,1.484728217124939,0.6895056366920471,0.7031731009483337,1.3065202236175537
19,FE,apoeb7baac587,A,apoa97fe99429,A,0,[1],[1],FE,FE,1.744199514389038,2.20377254486084,1.709496021270752,0.7577328085899353,0.7214586734771729,1.0371288061141968
20,NI,apof290017a5d,A,apo3c0ee48c2a,A,0,[1],[1],NI,NI,0.6867988109588623,2.4545257091522217,1.314683437347412,0.7318910956382751,0.8559041619300842,1.033995270729065
21,SAM,apoe4100df4a7,A,apo218b3ecdc8,A,0,[27],[17],SAM,SAM,1.6717400550842285,4.311281204223633,0.7624287009239197,0.8031446933746338,0.9970316886901855,0.7604691982269287
22,FE2,apoc49b4bd58c,A,apo37cf2e80a1,A,0,[1],[1],FE2,FE2,7.080406665802002,2.3216958045959473,1.750542402267456,0.7054499983787537,0.657685399055481,1.110259771347046
23,CO,apoa708248ee5,A,apo634102baf3,A,0,[1],[1],CO,CO,8.33237361907959,2.2418417930603027,1.4640520811080933,0.7066157460212708,0.6457770466804504,1.212199091911316
24,FE,apoa76603c89f,A,apo4c752695c4,A,0,[1],[1],FE,FE,2.179253339767456,2.5182085037231445,1.5980138778686523,0.6973933577537537,0.8494635224342346,1.347551941871643
25,ADP,apo4a7118351f,A,apoe12bfd702d,A,0,[27],[27],ADP,ADP,6.685520648956299,2.7892727851867676,1.5141832828521729,0.7064157724380493,0.857063353061676,1.3586390018463135
26,OXY,apo2c3a0c55e6,A,apocaef52ba11,A,0,[2],[1],OXY,OXY,7.21941614151001,2.3632025718688965,1.4976400136947632,0.7366094589233398,0.5852163434028625,1.0828710794448853
27,FE2,apo3adfbe03e8,A,apo80526afb52,A,0,[1],[1],FE2,FE2,1.5598305463790894,2.396890163421631,1.4320122003555298,0.6838852763175964,0.7386759519577026,1.0383448600769043
28,FE,apo0d054537d5,A,apoa97fe99429,A,0,[1],[1],FE,FE,0.3919053077697754,2.4539871215820312,1.4586880207061768,0.7170146703720093,0.8709770441055298,0.9640987515449524
29,CO,apo7f5816a39c,A,apo634102baf3,A,0,[1],[1],CO,CO,8.168980598449707,2.9090917110443115,1.3237173557281494,0.6756433248519897,0.9633393287658691,0.8475337028503418
30,FE2,apo37cf2e80a1,A,apo1c765845fe,A,0,[1],[1],FE2,FE2,2.870030641555786,2.4011754989624023,1.6060070991516113,0.7361984848976135,0.8034387230873108,1.0819474458694458
31,FE,apo6361ca5c40,A,apo8720488000,A,0,[1],[1],FE,FE,0.9641996622085571,2.50966215133667,1.4673073291778564,0.736471951007843,0.7561541199684143,1.0144118070602417
32,FE2,apo42db5ab941,A,apo80526afb52,A,0,[1],[1],FE2,FE2,2.155810594558716,2.3441314697265625,1.5229071378707886,0.7012113928794861,0.5964387059211731,1.1319464445114136
33,FE,apof30a35524c,A,apo0d054537d5,A,0,[1],[1],FE,FE,1.9742465019226074,2.403871774673462,1.5013325214385986,0.7233474850654602,0.584043562412262,0.975613534450531
34,AKG,apo754fdde920,A,apoa06a38fda5,A,0,[10],[10],AKG,AKG,5.7033233642578125,2.211902141571045,1.6019642353057861,0.7231652140617371,0.7422712445259094,1.1462798118591309
35,CU,apo3c541d6d49,A,apo561904df3e,A,0,[1],[1],CU,CU,1.0298811197280884,2.2284364700317383,1.5747320652008057,0.6970886588096619,0.7074949145317078,1.3921523094177246
36,BMA,apo7acc86e0e7,A,apo8f0025a8ed,A,0,[12],[12],BMA,BMA,6.095180034637451,2.3698644638061523,1.5893234014511108,0.7016587257385254,0.8036332130432129,1.0798851251602173
37,SAM,apofd7fa63b48,A,apo89ae69e16b,A,0,[27],[27],SAM,SAM,7.102570533752441,2.381187677383423,1.6799240112304688,0.6957845687866211,0.9005314707756042,1.087541103363037
38,AMP,apofff8bca9bc,A,apof731c02ff6,A,0,[23],[22],AMP,AMP,5.332808971405029,2.288397789001465,1.6726837158203125,0.7110782265663147,0.6153203248977661,1.049676537513733
39,FE,apod5332d15e2,A,apoa97fe99429,A,0,[1],[1],FE,FE,1.5332162380218506,1.9023292064666748,1.823385238647461,0.6967051029205322,0.8002048134803772,1.0884559154510498
40,MN,apo4108a8db6c,A,apoc476e130f7,A,0,[1],[1],MN,MN,1.9598593711853027,2.7347054481506348,1.447292447090149,0.724138617515564,0.8906265497207642,1.2431468963623047
41,CA,apo75788ed7ad,A,apo3b61ae9cd2,A,0,[1],[1],CA,CA,7.8765668869018555,1.8223426342010498,1.624009370803833,0.7124198079109192,0.8397628664970398,1.153144359588623
42,SAM,apofd7fa63b48,A,apo7d270341fc,A,0,[26],[27],SAM,SAM,7.048640727996826,2.4956061840057373,1.4677850008010864,0.7220921516418457,0.8974765539169312,1.2269611358642578
43,SAM,apofd7fa63b48,A,apo865b191f3d,A,0,[27],[27],SAM,SAM,7.096998691558838,2.708804130554199,1.5694553852081299,0.7332249879837036,0.930059015750885,1.1703898906707764
44,FE2,apoc49b4bd58c,A,apo80526afb52,A,0,[1],[1],FE2,FE2,7.090976715087891,2.3309683799743652,1.4803956747055054,0.7323646545410156,0.8317574262619019,1.0696361064910889
45,SAM,apofd7fa63b48,A,apo0c4f651c46,A,0,[27],[27],SAM,SAM,6.597637176513672,1.984253168106079,1.483839511871338,0.6562398672103882,0.8725218176841736,1.2727700471878052
46,CU,apo27cbc40f27,A,apo3c541d6d49,A,0,[1],[1],CU,CU,0.508184015750885,2.4661030769348145,1.5689473152160645,0.7459864616394043,0.7183482646942139,1.0060166120529175
47,FE,apoe86394f4a0,A,apod5332d15e2,A,0,[1],[1],FE,FE,2.623931884765625,2.386812210083008,1.4503366947174072,0.7296268343925476,0.8512371182441711,1.1024607419967651
48,SAM,apob0da859712,A,apo218b3ecdc8,A,0,[27],[27],SAM,SAM,3.2654268741607666,3.5341529846191406,1.214982271194458,0.7375997304916382,0.9766024947166443,0.9704911112785339
49,CU1,apo3d60f5c576,A,apo3454353519,A,0,[1],[1],CU1,CU1,2.5856456756591797,2.8140392303466797,1.7799184322357178,0.7549139857292175,0.799975574016571,1.2682017087936401
50,COA,apo577a70e23b,A,apo53f0c8aada,A,0,[48],[48],COA,COA,7.7006516456604,2.6527929306030273,1.685793161392212,0.7380292415618896,0.9452990293502808,1.2630090713500977
51,AMP,apo31667e1c97,A,apof731c02ff6,A,0,[23],[23],AMP,AMP,5.692430019378662,2.540922164916992,1.4634690284729004,0.7249409556388855,0.8832905888557434,1.0984737873077393
52,FE,apoe86394f4a0,A,apoa97fe99429,A,0,[1],[1],FE,FE,1.6970348358154297,2.6814041137695312,1.4122295379638672,0.7145848870277405,0.8594570159912109,1.131770372390747
53,GTP,apo3a68bb90dc,A,apo141a89905f,A,0,[32],[32],GTP,GTP,5.670225143432617,2.038602828979492,1.5615774393081665,0.7160592079162598,0.909216582775116,1.2215882539749146
