,ligand_id,tar_protein,tar_chain,src_protein,src_chain,cath_degree,src_ligand_n_atoms,tar_ligand_n_atoms,src_ligand,tar_ligand,ligand_rmsd,embedding_similarity,corr_rmsd,entropy,atom_type_fraction,radius_of_gyration
0,M6P,4r73,A,4rzc,A,0,[16],[16],M6P,M6P,4.690762042999268,2.674436330795288,1.5732260942459106,0.7103992700576782,0.546065092086792,1.0439839363098145
1,TYD,4rii,A,5tpv,B,0,[25],[25],TYD,TYD,3.0913307666778564,2.744825601577759,1.3717533349990845,0.7407740354537964,0.8048974871635437,0.989497721195221
2,GST,4lls,A,6ime,A,0,[19],[19],GST,GST,2.9441730976104736,2.834998607635498,1.6696724891662598,0.6779571175575256,0.5933905243873596,1.5003514289855957
3,AMZ,4tx9,A,5nxa,C,0,[22],[22],AMZ,AMZ,4.070985794067383,2.2412378787994385,1.4236308336257935,0.6964228749275208,0.7692974209785461,1.120740294456482
4,HEM,4mf9,A,5mfa,A,0,[43],[43],HEM,HEM,5.431594371795654,1.9353156089782715,1.7645412683486938,0.725395679473877,0.6792187094688416,1.2196106910705566
5,IPE,1x07,A,4jzb,A,0,[14],[14],IPE,IPE,6.076889514923096,2.593080997467041,1.4029972553253174,0.7122597098350525,0.7995630502700806,1.406754493713379
6,TTP,4xjc,A,6n9u,H,0,[29],[29],TTP,TTP,6.101977348327637,2.1628358364105225,1.589127540588379,0.6616489291191101,0.9027225971221924,1.3367480039596558
7,CA,6jt5,A,7qhm,D,0,[1],[1],CA,CA,7.903343677520752,1.9412145614624023,1.667615532875061,0.7384904026985168,0.7564325928688049,1.1695681810379028
8,IPE,4dxj,A,8jya,B,0,[14],[14],IPE,IPE,5.712289333343506,2.624152660369873,1.5843654870986938,0.7363777160644531,0.6376459002494812,1.2260205745697021
9,K,2ib8,D,6cq6,B,0,[1],[1],K,K,2.785257577896118,2.0777721405029297,1.6691944599151611,0.7466814517974854,0.8221214413642883,1.0613460540771484
10,BU3,4j6r,L,8a25,A,0,[6],[6],BU3,BU3,7.438778400421143,2.6539480686187744,1.5365365743637085,0.7001591920852661,0.8454996347427368,1.0948505401611328
11,SAM,3okx,A,4b17,A,0,[27],[27],SAM,SAM,1.8104788064956665,2.8587849140167236,1.5949982404708862,0.7238656282424927,0.5527245402336121,1.2534289360046387
12,GST,3vc1,D,4od5,A,0,[19],[19],GST,GST,5.926812648773193,2.5495519638061523,1.4658052921295166,0.6959525346755981,0.5958324074745178,1.2874826192855835
13,BEZ,1gxs,A,1ncw,H,0,[9],[9],BEZ,BEZ,5.499924659729004,2.5721652507781982,1.5063560009002686,0.7238461375236511,0.8528293371200562,1.110048770904541
14,IPE,4jzb,A,8jya,B,0,[14],[14],IPE,IPE,5.234013080596924,2.40618896484375,1.5677624940872192,0.7012999057769775,0.6409282088279724,1.3387552499771118
15,AMZ,2r7k,A,5nxa,C,0,[22],[22],AMZ,AMZ,6.396810054779053,1.9751356840133667,1.3968745470046997,0.646413266658783,0.5803345441818237,1.213686466217041
16,RBF,2cc8,A,3ddy,A,0,[27],[27],RBF,RBF,6.330512523651123,2.552306890487671,1.4660594463348389,0.7050126791000366,0.7346314787864685,1.0380029678344727
17,TYD,1h7q,A,5tpu,A,0,[25],[25],TYD,TYD,3.7946298122406006,2.594510555267334,1.4849954843521118,0.7432780265808105,0.8653649687767029,1.2676209211349487
18,SAM,5x7f,A,6ift,A,0,[27],[27],SAM,SAM,0.7999334931373596,4.684897422790527,0.5528925061225891,0.8464680910110474,0.9964918494224548,0.7318320274353027
19,SIA,2v73,A,5xla,A,0,[21],[21],SIA,SIA,4.457025527954102,2.457615375518799,1.6048197746276855,0.6928064823150635,0.9591536521911621,0.9665184020996094
20,CAA,1buc,A,3vzs,B,0,[54],[54],CAA,CAA,7.6470441818237305,2.8036956787109375,1.3670600652694702,0.7174063920974731,0.7690240740776062,1.2191864252090454
21,PCG,5e16,A,6hq7,A,0,[23],[23],PCG,PCG,0.8240149617195129,4.525763034820557,0.4874665439128876,0.8753116726875305,0.9346825480461121,0.7267776131629944
22,RBF,1hze,A,5kbw,B,0,[27],[27],RBF,RBF,3.561190605163574,2.289632558822632,1.5869029760360718,0.7526022791862488,0.7736746072769165,1.2002280950546265
23,TYD,4lei,A,4zyj,D,0,[25],[25],TYD,TYD,6.643845081329346,2.084169864654541,1.7192275524139404,0.7510116100311279,0.5663577318191528,1.033493161201477
24,BU3,5te4,G,8a25,A,0,[6],[6],BU3,BU3,6.016697883605957,2.4697513580322266,1.4884446859359741,0.6841973066329956,0.6040709614753723,1.4166254997253418
25,CA,1j5u,A,3i5g,C,0,[1],[1],CA,CA,3.32145619392395,2.159745693206787,1.4987579584121704,0.7292375564575195,0.8651843070983887,1.2270594835281372
26,PQQ,1otw,A,3das,A,0,[24],[24],PQQ,PQQ,4.240287780761719,2.248375177383423,1.4163289070129395,0.765867292881012,0.8516619801521301,0.9995474815368652
27,CA,1ia7,A,5az1,A,0,[1],[1],CA,CA,6.538052082061768,2.610623598098755,1.5752754211425781,0.7343763709068298,0.48864319920539856,1.2352259159088135
28,SAM,1cma,B,5vm8,B,0,[27],[27],SAM,SAM,7.033491134643555,2.4549694061279297,1.5358332395553589,0.742219865322113,0.8973752856254578,1.1171367168426514
29,CA,1t1e,A,2vmh,A,0,[1],[1],CA,CA,6.936176776885986,2.4916765689849854,1.5817251205444336,0.6938229203224182,0.904988169670105,1.2363108396530151
30,HEM,1e9x,A,4y4s,A,0,[43],[43],HEM,HEM,4.564169406890869,1.8844366073608398,1.4874756336212158,0.7045974731445312,0.6414729952812195,1.1846082210540771
31,ETA,1p4t,A,5yle,A,0,[4],[4],ETA,ETA,2.6112799644470215,2.128927707672119,1.6409634351730347,0.7420489192008972,0.7099791169166565,1.0701642036437988
32,GST,4od5,A,6ime,A,0,[19],[19],GST,GST,5.143786907196045,2.301330089569092,1.721784234046936,0.7155399918556213,0.6492254734039307,1.2848973274230957
33,CA,2vmh,A,5b5l,A,0,[1],[1],CA,CA,7.285406112670898,2.472012758255005,1.4617642164230347,0.7408366799354553,0.8596836924552917,1.158200979232788
34,PC,1o72,A,5tcd,A,0,[11],[11],PC,PC,5.900083065032959,2.624879837036133,1.4451401233673096,0.6814119219779968,0.5621418952941895,1.139400601387024
35,TYD,1epz,A,4e2x,A,0,[25],[25],TYD,TYD,5.022834777832031,2.7776618003845215,1.5030564069747925,0.7278649210929871,0.8646747469902039,1.1816028356552124
36,PC,2x6b,A,5egh,B,0,[11],[11],PC,PC,8.424283027648926,2.42331600189209,1.5020558834075928,0.6826338768005371,0.7467767596244812,1.014371395111084
37,GOA,5da5,A,6gmb,A,0,[5],[5],GOA,GOA,3.4841744899749756,2.1419830322265625,1.890790343284607,0.7044399380683899,0.7868396639823914,1.1751091480255127
38,CA,3agn,A,4dod,A,0,[1],[1],CA,CA,6.120779037475586,2.4859695434570312,1.5110206604003906,0.7255150675773621,0.7992264032363892,1.1997395753860474
39,8AC,3mle,B,3v0r,A,0,[11],[11],8AC,8AC,7.701738357543945,2.245654582977295,1.6965272426605225,0.7210392951965332,0.6961175203323364,1.2814830541610718
40,CA,1kkm,B,6hbe,C,0,[1],[1],CA,CA,7.590773105621338,2.208339214324951,1.596911072731018,0.7010720372200012,0.4875892102718353,1.1126548051834106
41,FPP,3aq0,C,7vqb,A,0,[24],[24],FPP,FPP,6.629889011383057,2.1760826110839844,1.5091221332550049,0.6839131116867065,0.8210115432739258,1.3517770767211914
42,ENO,5zbf,A,6jhb,B,0,[13],[13],ENO,ENO,5.599343776702881,2.60626220703125,1.7350844144821167,0.7232891917228699,0.9007620215415955,1.0954910516738892
43,CA,1y6o,A,5h7w,B,0,[1],[1],CA,CA,7.397738933563232,2.174346446990967,1.4703903198242188,0.7012952566146851,0.8775030374526978,1.150392770767212
44,AND,1j99,A,7xkd,R,0,[21],[21],AND,AND,5.686401844024658,2.2802939414978027,1.4116212129592896,0.7134389877319336,0.9313064217567444,1.2192484140396118
45,VO4,3gp5,A,4usz,A,0,[5],[4],VO4,VO4,2.5719590187072754,2.498818874359131,1.5747352838516235,0.7340269684791565,0.9029061794281006,1.014708161354065
46,HEM,4y4s,A,6hit,A,0,[43],[43],HEM,HEM,4.5535664558410645,2.3946585655212402,1.6952934265136719,0.7437455654144287,0.6584911942481995,1.2677526473999023
47,FDA,3r7k,A,4cy8,A,0,[53],[53],FDA,FDA,2.964005947113037,2.875410795211792,1.3695170879364014,0.7218100428581238,0.8325355052947998,1.1400001049041748
48,CA,1cpm,A,4fzm,A,0,[1],[1],CA,CA,7.242455959320068,2.3092703819274902,1.3849154710769653,0.6758536100387573,0.88777095079422,1.1838312149047852
49,K,2qv6,A,6cq6,B,0,[1],[1],K,K,4.833091735839844,2.5381886959075928,1.5451366901397705,0.7094584107398987,0.8996131420135498,1.2154676914215088
50,SAM,1sg9,A,6a5m,A,0,[27],[27],SAM,SAM,2.0719237327575684,3.031357765197754,1.430436611175537,0.7343160510063171,0.7200336456298828,1.0582506656646729
51,PC,2bib,A,3lkf,A,0,[11],[11],PC,PC,5.331145286560059,2.235074281692505,1.6425989866256714,0.7015836834907532,0.8083764910697937,1.035874366760254
52,SIA,5xla,A,6y6a,M,0,[21],[21],SIA,SIA,7.567824363708496,2.3358287811279297,1.2359737157821655,0.6873466372489929,0.9639815092086792,1.097546935081482
53,NAI,4eue,A,8ct0,H,0,[44],[44],NAI,NAI,4.650301456451416,2.9997103214263916,1.4674323797225952,0.6842969059944153,0.8356416821479797,1.1174582242965698
54,IPE,1x07,A,8jya,B,0,[14],[14],IPE,IPE,3.448587656021118,2.703019380569458,1.5359470844268799,0.71900874376297,0.8122826218605042,1.3191969394683838
55,BU3,3zyy,X,5i5m,B,0,[6],[6],BU3,BU3,7.260095596313477,2.2165286540985107,1.7204238176345825,0.7086375951766968,0.7739752531051636,1.1892818212509155
