,ligand_id,tar_protein,tar_chain,src_protein,src_chain,cath_degree,src_ligand_n_atoms,tar_ligand_n_atoms,src_ligand,tar_ligand,ligand_rmsd,embedding_similarity,corr_rmsd,entropy,atom_type_fraction,radius_of_gyration
0,FUC,2nzy,C,2ygq,A,0,[10],[10],FUC,FUC,7.698304653167725,2.6627840995788574,1.6288241147994995,0.7028194069862366,0.6365565061569214,1.4342565536499023
1,FE,6l3w,A,6rxn,A,0,[1],[1],FE,FE,0.8778165578842163,1.8753883838653564,1.558575987815857,0.7325953841209412,0.4107171893119812,0.8929457664489746
2,FE2,1ey2,A,4oj8,B,0,[1],[1],FE2,FE2,1.2457536458969116,2.4299964904785156,1.475655198097229,0.682485818862915,0.789986252784729,1.0393468141555786
3,ZN,4mvt,A,7s01,D,0,[1],[1],ZN,ZN,0.9733490943908691,2.01316499710083,1.3418655395507812,0.611748456954956,0.9239070415496826,0.81765216588974
4,FPS,3sae,A,4u82,A,0,[24],[20],FPS,FPS,4.783009052276611,2.564777135848999,1.4709415435791016,0.6697970032691956,0.7704522609710693,1.6041773557662964
5,OAA,3msu,B,4ros,A,0,[9],[9],OAA,OAA,7.140117168426514,2.763612747192383,1.4832757711410522,0.6854545474052429,0.7780554890632629,1.3622326850891113
6,PYR,2h9d,A,2vpa,A,0,[6],[6],PYR,PYR,5.561121940612793,2.160137414932251,1.505218267440796,0.730402946472168,0.9198907613754272,1.2343343496322632
7,AR6,4iqy,A,8bau,A,0,[36],[36],AR6,AR6,6.787527084350586,2.318124771118164,1.5530216693878174,0.7408477067947388,0.8580974340438843,1.2006645202636719
8,AKG,4hg3,A,4xcb,A,0,[10],[9],AKG,AKG,4.8799638748168945,2.696824073791504,1.5047683715820312,0.7394479513168335,0.6540810465812683,1.188767671585083
9,PMB,1bh9,B,3oxh,A,0,[11],[11],PMB,PMB,6.089804172515869,2.4256672859191895,1.5562530755996704,0.6949824094772339,0.8365252614021301,1.1170876026153564
